SFTRACT,POPEST
990100,0
980900,246
980600,401
980501,850
980401,0
980300,45
980200,299
061500,12391
061400,5625
061200,4023
061100,4488
061000,4474
060700,9804
060502,3184
060400,1854
060100,3451
047902,3669
047901,6571
047802,3952
047801,4001
047702,4221
047701,4016
047600,5586
045200,6896
045100,5053
042800,2357
042700,5370
042602,3487
042601,4111
040200,5045
040100,4346
035400,6330
035300,7885
035202,4551
035201,5439
035100,8031
033204,3736
033203,3931
033201,3702
033100,4677
033000,8770
032902,3995
032901,5582
032802,3986
032801,4111
032700,7130
032602,4540
032601,4766
031400,6578
031302,6301
031301,4363
031202,2982
031201,7169
031100,6602
031000,3744
030900,6619
030800,5646
030700,6905
030600,2353
030500,2825
030400,5411
030302,3936
030301,5648
030202,4296
030201,4184
030102,5229
030101,4728
026404,2476
026403,3833
026402,4155
026401,3802
026303,5365
026302,5295
026301,4672
026200,7867
026100,7047
026004,4658
026003,5097
026002,3549
026001,5448
025900,3996
025800,1994
025702,4831
025701,5116
025600,5578
025500,8696
025403,5125
025402,3287
025401,3351
025300,4718
025200,5957
025100,3402
023400,3699
023300,3367
023200,4319
023103,2934
023102,4870
023003,4369
023001,4835
022903,3097
022902,2460
022901,5024
022803,4930
022802,2220
022801,4988
022704,3314
022702,2297
022600,1866
021800,4238
021700,4079
021600,4335
021500,5129
021400,3459
021300,2626
021200,2842
021100,3993
021000,4556
020900,4723
020800,6182
020700,5427
020600,4607
020500,2646
020402,4128
020401,3090
020300,3042
020200,5962
020100,5257
018000,3232
017902,3083
017802,4307
017801,3066
017700,1654
017601,7220
017102,3862
017101,3557
017000,3857
016900,3021
016802,2957
016801,3329
016700,4960
016600,5537
016500,5787
016400,4135
016300,4748
016200,2604
016100,5085
016000,2552
015900,4081
015802,2837
015801,3738
015700,8373
015600,3015
015500,3918
015400,5927
015300,2066
015200,3865
015100,2106
013500,2592
013400,3968
013300,4482
013200,4695
013102,2692
013101,3791
013000,4548
012902,3444
012901,2588
012800,4908
012700,3758
012602,3101
012601,2499
012502,4120
012501,3547
012402,3393
012401,4613
012302,2518
012301,1790
012202,3079
012201,4576
012100,3876
012000,3563
011902,2625
011901,2543
011800,1740
011700,1547
011300,3058
011200,3078
011100,5078
011000,5303
010900,4740
010800,4779
010700,5311
010600,3664
010500,2606
010400,5265
010300,4346
010200,4220
010100,3827
