X,Y,IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,PdId
-122.403915681570993,37.790538993725001,160093084,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Sunday,01/31/2016,23:45,CENTRAL,NONE,200 Block of KEARNY ST,16009308405013.000000000000000
-122.416070932810996,37.761214223662705,160092149,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Sunday,01/31/2016,23:42,MISSION,UNFOUNDED,400 Block of SHOTWELL ST,16009214913075.000000000000000
-122.416070932810996,37.761214223662705,160092149,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Sunday,01/31/2016,23:42,MISSION,UNFOUNDED,400 Block of SHOTWELL ST,16009214964085.000000000000000
-122.416070932810996,37.761214223662705,160092149,PROSTITUTION,HUMAN TRAFFICKING,Sunday,01/31/2016,23:42,MISSION,UNFOUNDED,400 Block of SHOTWELL ST,16009214913045.000000000000000
-122.488807893358,37.753751944583499,160092315,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Sunday,01/31/2016,23:36,TARAVAL,NONE,2300 Block of NORIEGA ST,16009231506361.000000000000000
-122.422634459462017,37.742279428467789,160092105,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Sunday,01/31/2016,23:33,INGLESIDE,"ARREST, BOOKED",0 Block of 30TH ST,16009210505014.000000000000000
-122.422634459462017,37.742279428467789,160092105,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,01/31/2016,23:33,INGLESIDE,"ARREST, BOOKED",0 Block of 30TH ST,16009210528160.000000000000000
-122.432914603494012,37.784353342656793,160092133,NON-CRIMINAL,FOUND PROPERTY,Sunday,01/31/2016,23:30,NORTHERN,NONE,GEARY BL / FILLMORE ST,16009213372000.000000000000000
-122.432914603494012,37.784353342656793,160092133,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,01/31/2016,23:30,NORTHERN,NONE,GEARY BL / FILLMORE ST,16009213328160.000000000000000
-122.414743835381998,37.778719262788997,160092058,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Sunday,01/31/2016,23:28,TENDERLOIN,NONE,MARKET ST / 8TH ST,16009205864085.000000000000000
-122.414743835381998,37.778719262788997,160092058,ASSAULT,BATTERY,Sunday,01/31/2016,23:28,TENDERLOIN,NONE,MARKET ST / 8TH ST,16009205804134.000000000000000
-122.418274171659988,37.787037204368502,160092092,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,01/31/2016,23:24,NORTHERN,"ARREST, BOOKED",POST ST / LARKIN ST,16009209265016.000000000000000
