Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,ACS09_5yr_C17002001,ACS09_5yr_C17002002,ACS09_5yr_C17002003,ACS09_5yr_C17002004,ACS09_5yr_C17002005,ACS09_5yr_C17002006,ACS09_5yr_C17002007,ACS09_5yr_C17002008,ACS09_5yr_C17002001s,ACS09_5yr_C17002002s,ACS09_5yr_C17002003s,ACS09_5yr_C17002004s,ACS09_5yr_C17002005s,ACS09_5yr_C17002006s,ACS09_5yr_C17002007s,ACS09_5yr_C17002008s
"06075010100","14000US06075010100","Census Tract 101, San Francisco County, California","Census Tract 101, San Francisco County, California","ca","140","00","ACSSF","0018790",,,,,"06","075",,,,"010100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3685,399,435,276,91,139,57,2288,280.60606060606,216.969696969697,206.666666666666,76.9696969696969,52.7272727272727,60,38.7878787878787,229.696969696969
"06075010200","14000US06075010200","Census Tract 102, San Francisco County, California","Census Tract 102, San Francisco County, California","ca","140","00","ACSSF","0018791",,,,,"06","075",,,,"010200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4354,115,59,30,158,39,39,3914,198.181818181818,59.3939393939394,43.030303030303,29.0909090909091,104.848484848484,23.6363636363636,28.4848484848484,198.787878787878
"06075010300","14000US06075010300","Census Tract 103, San Francisco County, California","Census Tract 103, San Francisco County, California","ca","140","00","ACSSF","0018792",,,,,"06","075",,,,"010300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3736,395,200,64,36,105,12,2924,308.484848484848,205.454545454545,107.272727272727,32.1212121212121,28.4848484848484,79.3939393939394,12.1212121212121,280.60606060606
"06075010400","14000US06075010400","Census Tract 104, San Francisco County, California","Census Tract 104, San Francisco County, California","ca","140","00","ACSSF","0018793",,,,,"06","075",,,,"010400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4481,159,149,34,134,99,105,3801,252.727272727272,76.9696969696969,63.6363636363636,23.030303030303,64.2424242424242,55.7575757575757,53.3333333333333,281.212121212121
"06075010500","14000US06075010500","Census Tract 105, San Francisco County, California","Census Tract 105, San Francisco County, California","ca","140","00","ACSSF","0018794",,,,,"06","075",,,,"010500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2415,12,73,40,11,58,19,2202,130.90909090909,9.69696969696969,54.5454545454545,20.6060606060606,11.5151515151515,27.8787878787878,18.1818181818181,141.212121212121
"06075010600","14000US06075010600","Census Tract 106, San Francisco County, California","Census Tract 106, San Francisco County, California","ca","140","00","ACSSF","0018795",,,,,"06","075",,,,"010600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4018,261,326,250,347,469,93,2272,260.60606060606,112.727272727272,124.848484848484,94.5454545454545,122.424242424242,135.757575757575,66.060606060606,257.575757575757
"06075010700","14000US06075010700","Census Tract 107, San Francisco County, California","Census Tract 107, San Francisco County, California","ca","140","00","ACSSF","0018796",,,,,"06","075",,,,"010700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5326,828,629,456,549,821,253,1790,247.878787878787,205.454545454545,107.878787878787,116.363636363636,202.424242424242,244.242424242424,103.636363636363,255.757575757575
"06075010800","14000US06075010800","Census Tract 108, San Francisco County, California","Census Tract 108, San Francisco County, California","ca","140","00","ACSSF","0018797",,,,,"06","075",,,,"010800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4789,98,373,193,258,413,0,3454,229.090909090909,41.2121212121212,117.575757575757,64.8484848484848,123.030303030303,195.151515151515,80,290.90909090909
"06075010900","14000US06075010900","Census Tract 109, San Francisco County, California","Census Tract 109, San Francisco County, California","ca","140","00","ACSSF","0018798",,,,,"06","075",,,,"010900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4377,85,165,299,171,129,135,3393,195.151515151515,52.7272727272727,55.1515151515151,136.363636363636,115.151515151515,71.5151515151515,60.6060606060606,214.545454545454
"06075011000","14000US06075011000","Census Tract 110, San Francisco County, California","Census Tract 110, San Francisco County, California","ca","140","00","ACSSF","0018799",,,,,"06","075",,,,"011000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5502,312,492,127,270,316,129,3856,294.545454545454,160.60606060606,196.363636363636,87.2727272727272,77.5757575757575,116.363636363636,76.3636363636363,320
