Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,ACS14_5yr_C17002001,ACS14_5yr_C17002002,ACS14_5yr_C17002003,ACS14_5yr_C17002004,ACS14_5yr_C17002005,ACS14_5yr_C17002006,ACS14_5yr_C17002007,ACS14_5yr_C17002008,ACS14_5yr_C17002001s,ACS14_5yr_C17002002s,ACS14_5yr_C17002003s,ACS14_5yr_C17002004s,ACS14_5yr_C17002005s,ACS14_5yr_C17002006s,ACS14_5yr_C17002007s,ACS14_5yr_C17002008s
"06075010100","14000US06075010100","Census Tract 101, San Francisco County, California","Census Tract 101, San Francisco County, California","ca","140","00","ACSSF","0008983",,,,,"06","075",,,,"010100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3807,269,278,84,263,156,219,2538,212.727272727272,107.272727272727,65.4545454545454,46.060606060606,81.2121212121212,64.2424242424242,153.939393939393,195.151515151515
"06075010200","14000US06075010200","Census Tract 102, San Francisco County, California","Census Tract 102, San Francisco County, California","ca","140","00","ACSSF","0008984",,,,,"06","075",,,,"010200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4220,196,91,55,126,199,14,3539,233.333333333333,75.1515151515151,46.6666666666666,33.3333333333333,70.9090909090909,84.8484848484848,13.3333333333333,232.121212121212
"06075010300","14000US06075010300","Census Tract 103, San Francisco County, California","Census Tract 103, San Francisco County, California","ca","140","00","ACSSF","0008985",,,,,"06","075",,,,"010300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4346,341,434,75,41,482,33,2940,289.696969696969,124.242424242424,108.484848484848,48.4848484848484,23.030303030303,197.575757575757,32.1212121212121,288.484848484848
"06075010400","14000US06075010400","Census Tract 104, San Francisco County, California","Census Tract 104, San Francisco County, California","ca","140","00","ACSSF","0008986",,,,,"06","075",,,,"010400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5254,238,239,101,61,232,43,4340,355.757575757575,93.9393939393939,116.363636363636,64.8484848484848,32.1212121212121,67.8787878787878,24.8484848484848,316.363636363636
"06075010500","14000US06075010500","Census Tract 105, San Francisco County, California","Census Tract 105, San Francisco County, California","ca","140","00","ACSSF","0008987",,,,,"06","075",,,,"010500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2606,145,36,109,10,132,22,2152,130.30303030303,64.2424242424242,31.5151515151515,73.9393939393939,9.69696969696969,54.5454545454545,14.5454545454545,133.333333333333
"06075010600","14000US06075010600","Census Tract 106, San Francisco County, California","Census Tract 106, San Francisco County, California","ca","140","00","ACSSF","0008988",,,,,"06","075",,,,"010600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3664,275,900,308,319,219,102,1541,262.424242424242,115.151515151515,242.424242424242,113.333333333333,162.424242424242,73.3333333333333,91.5151515151515,196.363636363636
"06075010700","14000US06075010700","Census Tract 107, San Francisco County, California","Census Tract 107, San Francisco County, California","ca","140","00","ACSSF","0008989",,,,,"06","075",,,,"010700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5311,459,640,623,431,416,401,2341,272.121212121212,121.818181818181,160,193.939393939393,154.545454545454,132.121212121212,173.939393939393,347.878787878787
"06075010800","14000US06075010800","Census Tract 108, San Francisco County, California","Census Tract 108, San Francisco County, California","ca","140","00","ACSSF","0008990",,,,,"06","075",,,,"010800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4779,182,707,97,40,68,183,3502,258.787878787878,68.4848484848484,190.30303030303,48.4848484848484,25.4545454545454,59.3939393939394,142.424242424242,272.121212121212
"06075010900","14000US06075010900","Census Tract 109, San Francisco County, California","Census Tract 109, San Francisco County, California","ca","140","00","ACSSF","0008991",,,,,"06","075",,,,"010900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4740,200,290,64,94,94,41,3957,178.787878787878,70.9090909090909,84.2424242424242,37.5757575757575,53.3333333333333,41.2121212121212,27.8787878787878,201.818181818181
"06075011000","14000US06075011000","Census Tract 110, San Francisco County, California","Census Tract 110, San Francisco County, California","ca","140","00","ACSSF","0008992",,,,,"06","075",,,,"011000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5303,144,159,120,464,212,348,3856,337.575757575757,43.030303030303,56.3636363636363,77.5757575757575,227.272727272727,126.060606060606,171.515151515151,338.181818181818
"06075011100","14000US06075011100","Census Tract 111, San Francisco County, California","Census Tract 111, San Francisco County, California","ca","140","00","ACSSF","0008993",,,,,"06","075",,,,"011100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5028,249,307,101,247,170,42,3912,238.787878787878,84.2424242424242,123.636363636363,43.6363636363636,124.242424242424,85.4545454545454,40.6060606060606,267.878787878787
"06075011200","14000US06075011200","Census Tract 112, San Francisco County, California","Census Tract 112, San Francisco County, California","ca","140","00","ACSSF","0008994",,,,,"06","075",,,,"011200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3078,263,165,178,217,62,8,2185,187.878787878787,96.3636363636364,56.3636363636363,63.030303030303,91.5151515151515,36.9696969696969,8.48484848484848,214.545454545454
"06075011300","14000US06075011300","Census Tract 113, San Francisco County, California","Census Tract 113, San Francisco County, California","ca","140","00","ACSSF","0008995",,,,,"06","075",,,,"011300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3029,221,452,294,157,376,220,1309,155.151515151515,92.1212121212121,89.0909090909091,90.3030303030303,76.3636363636363,106.666666666666,143.636363636363,180
"06075011700","14000US06075011700","Census Tract 117, San Francisco County, California","Census Tract 117, San Francisco County, California","ca","140","00","ACSSF","0008996",,,,,"06","075",,,,"011700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495,175,123,20,71,170,7,929,230.30303030303,48.4848484848484,41.2121212121212,18.1818181818181,43.6363636363636,60.6060606060606,7.27272727272727,208.484848484848
